ID1,ID2,total_ibd_length,proportion_ibd
AG0108-C_bissau,AG0204-C_bissau,1099921,0.020674940946247986
AG0108-C_bissau,AG0214-C_bissau,1214357,0.022825965921791532
AG0108-C_bissau,AG0221-C_bissau,334408,0.006285783844433278
AG0108-C_bissau,AG0442-CW_bissau,2982940,0.05606957985728153
AG0108-C_bissau,AG0445-CW_bissau,5280503,0.09925629903555375
AG0108-C_bissau,AG0446-CW_bissau,2566573,0.048243233113318615
AG0111-C_bissau,AG0203-C_bissau,585844,0.011011963680767713
AG0111-C_bissau,AG0204-C_bissau,939828,0.01766571271903196
AG0111-C_bissau,AG0454-CW_bissau,1560053,0.029323927489353332
AG0118-C_bissau,AG0082-C_bissau,5251239,0.09870623091988817
AG0118-C_bissau,AG0085-C_bissau,592401,0.011135213975820311
AG0118-C_bissau,AG0108-C_bissau,2978555,0.05598715610498542
AG0118-C_bissau,AG0111-C_bissau,627054,0.011786577781593937
AG0118-C_bissau,AG0119-C_bissau,463593,0.008714042097654234
AG0118-C_bissau,AG0121-C_bissau,686769,0.012909025756135015
AG0118-C_bissau,AG0123-C_bissau,4452368,0.0836900518045971
AG0118-C_bissau,AG0124-C_bissau,2676684,0.05031296214161457
AG0118-C_bissau,AG0127-C_bissau,2522544,0.04741563097196269
AG0118-C_bissau,AG0128-C_bissau,1410455,0.026511971161874537
AG0118-C_bissau,AG0133-C_bissau,1357800,0.025522228248042827
AG0118-C_bissau,AG0138-C_bissau,769323,0.014460772722395826
AG0118-C_bissau,AG0156-C_bissau,2861959,0.05379553014769509
AG0118-C_bissau,AG0169-C_bissau,1272062,0.02391063242720714
AG0118-C_bissau,AG0178-C_bissau,1785982,0.033570658602810444
AG0118-C_bissau,AG0183-C_bissau,1683842,0.03165075847521058
AG0118-C_bissau,AG0197-C_bissau,704232,0.013237273415507214
AG0118-C_bissau,AG0204-C_bissau,3477083,0.06535786269214133
AG0118-C_bissau,AG0214-C_bissau,1389243,0.02611325448372055
AG0118-C_bissau,AG0221-C_bissau,2393252,0.04498536146640521
AG0118-C_bissau,AG0226-C_bissau,1221161,0.022953859014293875
AG0118-C_bissau,AG0442-CW_bissau,3288190,0.061807288041634954
AG0118-C_bissau,AG0445-CW_bissau,866283,0.01628330568080666
AG0118-C_bissau,AG0450-CW_bissau,699342,0.013145357304052706
AG0118-C_bissau,AG0454-CW_bissau,4968016,0.09338255876559783
AG0119-C_bissau,AG0108-C_bissau,530012,0.009962503489616787
AG0119-C_bissau,AG0111-C_bissau,1072561,0.020160661844122154
AG0119-C_bissau,AG0121-C_bissau,425728,0.008002303128283088
AG0119-C_bissau,AG0124-C_bissau,1711033,0.032161860926449744
AG0119-C_bissau,AG0127-C_bissau,1312538,0.02467144971293978
AG0119-C_bissau,AG0128-C_bissau,517495,0.009727224559744382
AG0119-C_bissau,AG0152-C_bissau,1036284,0.019478772115035212
AG0119-C_bissau,AG0162-C_bissau,892251,0.01677141970580679
AG0119-C_bissau,AG0178-C_bissau,1973246,0.03709061334624946
AG0119-C_bissau,AG0183-C_bissau,733269,0.013783074668739221
AG0119-C_bissau,AG0204-C_bissau,366170,0.006882806243618973
AG0119-C_bissau,AG0214-C_bissau,418924,0.007874410035780743
AG0119-C_bissau,AG0221-C_bissau,1669829,0.03138735960612837
AG0119-C_bissau,AG0226-C_bissau,486070,0.009136536665581218
AG0119-C_bissau,AG0231-C_bissau,1358762,0.025540310722320787
AG0119-C_bissau,AG0442-CW_bissau,809126,0.015208939794834217
AG0119-C_bissau,AG0450-CW_bissau,694654,0.013057238136261556
AG0119-C_bissau,AG0454-CW_bissau,435383,0.008183785757341015
